prot1,prot2
BCL6,HDAC4
HDAC4,BCL6
BCL6,HDAC5
HDAC5,BCL6
BCL6,HDAC7
HDAC7,BCL6
EP300,CREBBP
EP300,KAT2B
EP300,NCOA3
CREBBP,EP300
CREBBP,KAT2B
CREBBP,NCOA3
KAT2B,EP300
KAT2B,CREBBP
KAT2B,NCOA3
NCOA3,EP300
NCOA3,CREBBP
NCOA3,KAT2B
SMC2,NCAPH
SMC2,NCAPD2
SMC2,NCAPG
SMC2,SMC4
NCAPH,SMC2
NCAPH,NCAPD2
NCAPH,NCAPG
NCAPH,SMC4
NCAPD2,SMC2
NCAPD2,NCAPH
NCAPD2,NCAPG
NCAPD2,SMC4
NCAPG,SMC2
NCAPG,NCAPH
NCAPG,NCAPD2
NCAPG,SMC4
SMC4,SMC2
SMC4,NCAPH
SMC4,NCAPD2
SMC4,NCAPG
HPS1,HPS4
HPS4,HPS1
HPS6,HPS3
HPS6,HPS5
HPS3,HPS6
HPS3,HPS5
HPS5,HPS6
HPS5,HPS3
CDS1,MUS81
MUS81,CDS1
HDAC3,TBL1X
HDAC3,NCOR1
HDAC3,GPS2
HDAC3,CORO2A
HDAC3,TBL1XR1
TBL1X,HDAC3
TBL1X,NCOR1
TBL1X,GPS2
TBL1X,CORO2A
TBL1X,TBL1XR1
NCOR1,HDAC3
NCOR1,TBL1X
NCOR1,GPS2
NCOR1,CORO2A
NCOR1,TBL1XR1
GPS2,HDAC3
GPS2,TBL1X
GPS2,NCOR1
GPS2,CORO2A
GPS2,TBL1XR1
CORO2A,HDAC3
CORO2A,TBL1X
CORO2A,NCOR1
CORO2A,GPS2
CORO2A,TBL1XR1
TBL1XR1,HDAC3
TBL1XR1,TBL1X
TBL1XR1,NCOR1
TBL1XR1,GPS2
TBL1XR1,CORO2A
SNAPIN,BLOC1S1
SNAPIN,BLOC1S3
SNAPIN,BLOC1S2
SNAPIN,BLOC1S5
SNAPIN,DTNBP1
SNAPIN,BLOC1S4
SNAPIN,BLOC1S6
BLOC1S1,SNAPIN
BLOC1S1,BLOC1S3
BLOC1S1,BLOC1S2
BLOC1S1,BLOC1S5
BLOC1S1,DTNBP1
BLOC1S1,BLOC1S4
BLOC1S1,BLOC1S6
BLOC1S3,SNAPIN
BLOC1S3,BLOC1S1
BLOC1S3,BLOC1S2
BLOC1S3,BLOC1S5
BLOC1S3,DTNBP1
BLOC1S3,BLOC1S4
BLOC1S3,BLOC1S6
BLOC1S2,SNAPIN
BLOC1S2,BLOC1S1
BLOC1S2,BLOC1S3
BLOC1S2,BLOC1S5
BLOC1S2,DTNBP1
BLOC1S2,BLOC1S4
BLOC1S2,BLOC1S6
BLOC1S5,SNAPIN
BLOC1S5,BLOC1S1
BLOC1S5,BLOC1S3
BLOC1S5,BLOC1S2
BLOC1S5,DTNBP1
BLOC1S5,BLOC1S4
BLOC1S5,BLOC1S6
DTNBP1,SNAPIN
DTNBP1,BLOC1S1
DTNBP1,BLOC1S3
DTNBP1,BLOC1S2
DTNBP1,BLOC1S5
DTNBP1,BLOC1S4
DTNBP1,BLOC1S6
BLOC1S4,SNAPIN
BLOC1S4,BLOC1S1
BLOC1S4,BLOC1S3
BLOC1S4,BLOC1S2
BLOC1S4,BLOC1S5
BLOC1S4,DTNBP1
BLOC1S4,BLOC1S6
BLOC1S6,SNAPIN
BLOC1S6,BLOC1S1
BLOC1S6,BLOC1S3
BLOC1S6,BLOC1S2
BLOC1S6,BLOC1S5
BLOC1S6,DTNBP1
BLOC1S6,BLOC1S4
ARPC1B,ARPC2
ARPC1B,ARPC3
ARPC1B,ARPC5
ARPC1B,ARPC4
ARPC1B,ACTR3
ARPC1B,ACTR2
ARPC2,ARPC1B
ARPC2,ARPC3
ARPC2,ARPC5
ARPC2,ARPC4
ARPC2,ACTR3
ARPC2,ACTR2
ARPC3,ARPC1B
ARPC3,ARPC2
ARPC3,ARPC5
ARPC3,ARPC4
ARPC3,ACTR3
ARPC3,ACTR2
ARPC5,ARPC1B
ARPC5,ARPC2
ARPC5,ARPC3
ARPC5,ARPC4
ARPC5,ACTR3
ARPC5,ACTR2
ARPC4,ARPC1B
ARPC4,ARPC2
ARPC4,ARPC3
ARPC4,ARPC5
ARPC4,ACTR3
ARPC4,ACTR2
ACTR3,ARPC1B
ACTR3,ARPC2
ACTR3,ARPC3
ACTR3,ARPC5
ACTR3,ARPC4
ACTR3,ACTR2
ACTR2,ARPC1B
ACTR2,ARPC2
ACTR2,ARPC3
ACTR2,ARPC5
ACTR2,ARPC4
ACTR2,ACTR3
PSME1,PSME2
PSME2,PSME1
PSMD11,PSMD12
PSMD11,PSMD9
PSMD11,PSMD14
PSMD11,PSMD3
PSMD11,PSMD10
PSMD11,PSMC3
PSMD11,PSMC2
PSMD11,PSMC4
PSMD11,PSMD8
PSMD11,PSMD7
PSMD11,PSMD4
PSMD11,PSMC1
PSMD11,PSMC5
PSMD11,PSMC6
PSMD11,PSMD2
PSMD11,PSMD6
PSMD11,PSMD5
PSMD11,PSMD1
PSMD11,PSMD13
PSMD12,PSMD11
PSMD12,PSMD9
PSMD12,PSMD14
PSMD12,PSMD3
PSMD12,PSMD10
PSMD12,PSMC3
PSMD12,PSMC2
PSMD12,PSMC4
PSMD12,PSMD8
PSMD12,PSMD7
PSMD12,PSMD4
PSMD12,PSMC1
PSMD12,PSMC5
PSMD12,PSMC6
